Nombre,poblacion,Superficie,Continente
Argentina,45376763,2780400,América
Brasil,213993437,8515767,América
Colombia,50882891,1141748,América
Chile,19116209,756102,América
Perú,33050325,1285216,América
México,130262216,1964375,América
Venezuela,28515829,916445,América
Ecuador,17643060,283561,América
Bolivia,11673029,1098581,América
Uruguay,3473727,176215,Asia
